"VCGE-1","VCGE-2"
"Desenvolvimento tecnológico de produtos","Biodiversidade,Meio ambiente"
"Saúde","Saúde"
"Saúde do preso",""
"Fitoterapia","Saúde"
"Áreas protegidas com reconhecimento internacional","Meio ambiente,Preservação e Conservação Ambiental"
"Importação","Comércio e Serviços"
"Dispersão","Biodiversidade,Meio ambiente"
"Habitação, Saneamento e Urbanismo",",Habitação,Saneamento"
"Serviços postais","Comunicações"
"Acordo de nível de serviço de gestão ambiental","Meio ambiente"
"Extradição","Relações Internacionais"
"Aditivos de alimentos","Agropecuária"
"Mata atlântica","Biodiversidade,Meio ambiente"
"Participação e controle","Meio ambiente"
"Plantio convencional","Agropecuária"
"Plano nacional de educação","Educação"
"Estrutiocultura","Agropecuária"
"Sustentabilidade ambiental","Biodiversidade,Meio ambiente"
"Tratamento de resíduos sólidos","Meio ambiente,Preservação e Conservação Ambiental"
"Legislação de publicidade ao ar livre","Urbanismo"
"Propriedade industrial","Produção Industrial,Indústria"
"Especialista em educação","Educação"
"Contribuição previdenciária","Trabalho"
"Regime de execução de pena",""
"Desnutrição","Saúde"
"Supletivo","Educação"
"Partidos políticos","Administração"
"Segundo ciclo","Educação,Educação básica"
"Energias renováveis","Meio ambiente"
"Alimentação saudável","Saúde"
"Resíduos comerciais","Meio ambiente"
"Defesa do consumidor","Proteção Social,Combate a desigualdade"
"Pesca intensiva","Agropecuária"
"Limpeza urbana","Meio ambiente,Preservação e Conservação Ambiental"
"Transportes e trânsito","Transportes,,Urbanismo"
"Erosão do solo","Meio ambiente"
"Gripe","Saúde"
"Fragmentação de florestas","Biodiversidade,Meio ambiente"
"Sanidade animal","Agropecuária"
"Biogás","Meio ambiente"
"Proteção social básica","Proteção Social"
"Presídios",""
"Ambulatório","Saúde,Assistência Hospitalar e Ambulatorial"
"Código de conduta","Administração"
"Indústria pesqueira","Agropecuária"
"Resíduos rurais","Meio ambiente"
"Estações ecológicas","Meio ambiente,Preservação e Conservação Ambiental"
"Carteira nacional de habilitação",""
"Alimento","Agropecuária"
"Professor","Educação"
"Asilo político","Relações Internacionais"
"Manejo sustentável de animais silvestres","Biodiversidade,Meio ambiente"
"Ética publica","Administração"
"Câmbio","Comércio e Serviços,Turismo"
"Águas transfronteriças","Meio ambiente,Água"
"Esporte comunitário","Esporte e Lazer"
"Formação de pessoal penal e penitenciário",""
"Resíduos industriais","Saúde"
"Poder judiciário",",Administração"
"Rádio","Comunicações"
"Documentário","Cultura"
"Desmatamento","Biodiversidade,Meio ambiente"
"Casa de albergados",""
"Paraná","Meio ambiente,Água"
"Marinha","Defesa Nacional"
"Serviço de Inteligência","Policiamento,Segurança e Ordem Pública"
"Economia e Finanças","Economia e Finanças"
"Defesa Nacional","Defesa Nacional"
"Variedades crioulas","Biodiversidade,Meio ambiente"
"Proteção social especial à pessoa em situação de risco","Proteção Social"
"Exército","Defesa Nacional"
"Meio ambiente","Meio ambiente"
"Bibliotecas","Comunicações"
"Penitenciarias",""
"Poder legislativo","Administração"
"Organização agrária","Agropecuária"
"Pesca continental","Agropecuária"
"Herbários","Biodiversidade,Meio ambiente"
"Ilícitos associados","Meio ambiente"
"Serviço da divida interna","Economia e Finanças"
"Indústria extrativa","Propriedade Industrial,Indústria"
"Tecnologia de alimentos","Indústria,Propriedade Industrial,Agropecuária"
"Saneamento ambiental urbano","Meio ambiente"
"Fomento (audiovisual)","Cultura"
"Conservação e preservação de biomas","Biodiversidade,Meio ambiente"
"Poderes do estado","Administração"
"Manejo sustentável de espécies da flora","Biodiversidade,Meio ambiente"
"Resíduos sólidos urbanos","Meio ambiente"
"Calendário de vacinação da criança","Combate a epidemias,Saúde"
"Qualidade de produtos para o consumidor","Vigilância Sanitária,Saúde"
"Precatórios","Economia e Finanças"
"Parnaíba","Meio ambiente,Água"
"Gestão das unidades de conservação","Meio ambiente,Preservação e Conservação Ambiental"
"Espécies de intercâmbio facilitado","Biodiversidade,Meio ambiente"
"Sistema educacional - Avaliação","Educação"
"Tombamento histórico","Urbanismo"
"Software proprietário","Pesquisa e Desenvolvimento"
"Pampa","Biodiversidade,Meio ambiente"
"Regiões hidrográficas","Meio ambiente,Água"
"Espécies ameaçadas","Biodiversidade,Meio ambiente"
"UPA 24 horas","Saúde"
"Estudo de impacto ambiental - EIA","Meio ambiente"
"Bacias hidrográficas","Meio ambiente,Água"
"Previdência do servidor","Previdência Social"
"Irrigação e drenagem","Produção agropecuária,Agropecuária"
"Radiodifusão","Comunicações"
"Pesquisas para conservação de espécies","Biodiversidade,Meio ambiente"
"Desenvolvimento econômico","Economia e Finanças"
"Pensões","Previdência Social"
"Secretaria escolar","Educação"
"Educação para a saúde","Saúde"
"Espaços litorâneos","Biodiversidade,Meio ambiente"
"Doença de planta","Agropecuária"
"Pareceres","Educação"
"Ovinocultura","Agropecuária"
"Cultura, Lazer e Esporte",",Esporte e Lazer,Cultura"
"Legislação e normas","Administração"
"Antártida","Biodiversidade,Meio ambiente"
"Pintura","Cultura"
"Manejo alternativo de animais crioulos e silvestres","Biodiversidade,Meio ambiente"
"Qualidade de saneantes","Vigilância Sanitária,Saúde"
"Alto Paraguai","Meio ambiente,Água"
"Áreas desmatadas","Biodiversidade,Meio ambiente"
"Administração financeira","Economia e Finanças"
"Direitos das comunidades tradicionais associado ao patrimônio genético","Biodiversidade,Meio ambiente"
"Degradação de habitats","Biodiversidade,Meio ambiente"
"Reserva da fauna","Meio ambiente,Preservação e Conservação Ambiental"
"Restauração e preservação","Meio ambiente,Preservação e Conservação Ambiental"
"Turismo gastronômico","Comércio e Serviços,Turismo"
"Poluentes orgânicos persistentes","Meio ambiente"
"Apicultura","Agropecuária"
"Permanência do estrangeiro","Relações Internacionais"
"Tratado internacional","Relações Internacionais"
"Gestão de florestas públicas","Meio ambiente"
"Legislação de saúde","Saúde"
"Fotografia","Cultura"
"Legislação e jurisprudência",""
"Sala de exibição","Cultura"
"Pré-escola","Educação,Educação básica"
"Defesa animal","Agropecuária"
"Medidas preventivas, mitigadoras e compensatórias","Biodiversidade,Meio ambiente"
"Auxilio reclusão","Previdência Social"
"Previdência do regime estatutário","Previdência Social"
"Saúde no sistema penitenciário","Saúde"
"Qualidade de medicamentos","Vigilância Sanitária,Saúde"
"Desenvolvimento de bioprodutos","Biodiversidade,Meio ambiente"
"Degradação da terra nas áreas semi-áridas e subúmidas secas","Meio ambiente"
"Fisiologia vegetal","Agropecuária"
"Assistência técnica","Produção agropecuária,Agropecuária"
"Recursos humanos em saúde","Saúde"
"Televisão","Comunicações"
"Quarentena vegetal","Agropecuária"
"Indústria farmacêutica","Propriedade Industrial,Indústria"
"Indústria sucroalcooleira","Propriedade Industrial,Indústria"
"Tocantins-Araguaia","Água,Meio ambiente"
"Calendário de vacinação do idoso","Combate a epidemias,Saúde"
"Educação para quilombolas","Educação"
"Planejamento ambiental","Biodiversidade,Meio ambiente"
"Mananciais","Meio ambiente,Preservação e Conservação Ambiental"
"Biomas brasileiros","Biodiversidade,Meio ambiente"
"Métodos de ensino","Educação"
"Execução das ações de caráter permanente","Meio ambiente"
"Produção pesqueira","Agropecuária"
"Transporte ferroviário de passageiros","Transportes,Transporte Ferroviário"
"Pesca fluvial","Agropecuária"
"Florestas plantadas","Biodiversidade,Meio ambiente"
"Transporte aquaviário","Transportes,Transporte Hidroviário,Água,Meio ambiente"
"Oleodutos","Transportes"
"Sistema de informações sobre recursos hídricos","Meio ambiente,Água"
"Transporte dutoviário","Transportes"
"Esporte","Esporte e Lazer"
"Convenção internacional","Relações Internacionais"
"Processamento de produtos florestais","Meio ambiente"
"Educação no trânsito","Transportes"
"Educação do campo","Educação"
"Visitação de unidades de conservação","Meio ambiente,Preservação e Conservação Ambiental"
"Organização da produção","Meio ambiente"
"Cadeias produtivas da sociobiodiversidade","Biodiversidade,Meio ambiente"
"Registro comercial","Comércio e Serviços"
"Relações de trabalho","Trabalho"
"Polícia","Segurança e Ordem Pública"
"Dengue","Saúde"
"Desemprego","Trabalho"
"Extensão rural","Agropecuária"
"Arquitetura e engenharia em saúde","Saúde"
"Educação","Educação"
"Contribuição","Economia e Finanças"
"Análise de risco das espécies exóticas invasoras","Biodiversidade,Meio ambiente"
"Estímulo à investimentos de longo prazo em florestas públicas","Meio ambiente"
"Atlântico sul","Meio ambiente,Água"
"Planejamento e orçamento","Administração,Planejamento"
"Animais exóticos","Agropecuária"
"Gerenciamento de substancias e resíduos","Meio ambiente"
"Partido político",""
"Promoção comercial","Comércio e Serviços"
"Silvicultura com espécies nativas","Biodiversidade,Meio ambiente"
"Repartição de benefícios do patrimônio genético","Biodiversidade,Meio ambiente"
"Diploma educação superior","Educação,Educação superior"
"Esgoto sanitário","Meio ambiente"
"Unidades de conservação (UCS)","Meio ambiente,Preservação e Conservação Ambiental"
"Troca de lâmpadas","Serviços Urbanos,Urbanismo"
"Saúde do homem","Saúde"
"Gestão de conflitos da atividade minerária","Meio ambiente"
"Aquecimento global","Meio ambiente"
"Sistema de reserva de vagas","Educação,Educação superior"
"Documentos de publicidade ao ar livre","Urbanismo"
"Coleta de patrimônio genético","Biodiversidade,Meio ambiente"
"Transporte especial","Transportes"
"Violência","Saúde"
"Assistência e desenvolvimento social","Proteção Social"
"Transição agroecológica de sistemas de produção","Meio ambiente"
"Colonização","Agropecuária"
"Educação profissional técnica de nível médio","Educação,Educação profissionalizante"
"Logística e transporte de exportação","Comércio e Serviços"
"Turismo religioso","Comércio e Serviços,Turismo"
"Saúde do trabalhador","Saúde"
"Roteiros metodológicos de proteção integral de UCS","Meio ambiente,Preservação e Conservação Ambiental"
"Estoque regulador","Abastecimento,Agropecuária"
"Administração de despesas","Economia e Finanças"
"Televisão digital","Comunicações"
"Construção rural","Produção agropecuária,Agropecuária"
"Multimeios didáticos","Educação"
"Espécies exóticas invasoras","Biodiversidade,Meio ambiente"
"Florestas nativas","Meio ambiente"
"Moeda","Comércio e Serviços,Turismo"
"Acordos e tratados de cooperação internacionais","Meio ambiente,Água"
"Uso público das unidades de conservação","Meio ambiente,Preservação e Conservação Ambiental"
"Relacionados à unidades de conservação e zonas de amortecimento","Meio ambiente"
"Financiamento da educação","Educação"
"Indústria de arma e munição","Propriedade Industrial,Indústria"
"Solar","Meio ambiente"
"Outorga dos direitos de uso de recursos hídricos","Meio ambiente,Água"
"Alfabetização de jovens e adultos","Educação"
"Vacinação","Combate a epidemias,Saúde"
"Artes gráficas","Cultura"
"Oportunidades de emprego","Trabalho"
"Distúrbio vegetal","Agropecuária"
"Clínica animal","Agropecuária"
"Defesa do interesse publico",""
"Corredor central da amazônia (CCA)","Meio ambiente,Preservação e Conservação Ambiental"
"Legislação",""
"Nanomedicina","Pesquisa e Desenvolvimento"
"Reforma do judiciário",""
"Concessões de equipamentos urbanos","Serviços Urbanos,Urbanismo"
"Qualidade do ar","Meio ambiente"
"Monitoramento do meio ambiente","Meio ambiente"
"Engenharia agrícola","Produção agropecuária,Agropecuária"
"Recursos logísticos","Administração"
"Transferência de imóvel","Habitação"
"Obras","Administração"
"Ecossistemas aquáticos","Biodiversidade,Meio ambiente"
"Mestrado acadêmico","Educação,Educação superior"
"Manejo de espécies ameçadas de extinção","Biodiversidade,Meio ambiente"
"Pastagem","Agropecuária"
"Regima aberto",""
"Eólica","Meio ambiente"
"Dança","Cultura"
"Câmara de compensação ambiental","Meio ambiente"
"Coleções científicas de patrimônio genético","Biodiversidade,Meio ambiente"
"Emergências ambientais urbanas","Meio ambiente"
"Ostreicultura","Agropecuária"
"Indústria alimentar","Propriedade Industrial,Indústria"
"Zootecnia","Agropecuária"
"Reabilitação profissional","Previdência Social"
"Alimentação e nutrição","Saúde"
"Eletrificação rural","Produção agropecuária,Agropecuária"
"Educação profissional tecnológica de graduação e pós-graduação","Educação,Educação profissionalizante"
"Energia e meio ambiente","Meio ambiente"
"Geração de energia hidrelétrica","Meio ambiente,Água"
"Controle das espécies exóticas invasoras","Biodiversidade,Meio ambiente"
"Tribunais de alçada",""
"Monopólios e fusões","Economia e Finanças"
"Governo estadual","Administração"
"Concessão florestal","Meio ambiente"
"Revalidação diploma curso superior","Educação,Educação superior"
"Campanha conduta consciente","Biodiversidade,Meio ambiente"
"Estrutura agrária","Agropecuária"
"Recuperação e manejo sustentável","Meio ambiente,Preservação e Conservação Ambiental"
"Capacitação","Recursos humanos,Administração"
"Educação à distância","Educação"
"Medicamentos essenciais","Medicamentos e aparelhos,Saúde"
"Educação de jovens e adultos","Educação"
"Bioenergia","Energia,Combustíveis"
"Exploração econômica de recursos naturais","Meio ambiente"
"Radioamador","Comunicações"
"Adaptação à mudança do clima","Meio ambiente"
"Comunicação multimídia","Comunicações"
"Nanotecnologia","Biodiversidade,Meio ambiente,Pesquisa e Desenvolvimento"
"Caatinga","Biodiversidade,Meio ambiente"
"Conselhos estaduais de recursos hídricos","Meio ambiente,Água"
"Pesca artesanal","Agropecuária"
"Águas superficiais","Meio ambiente,Água"
"Classificação indicativa de vídeos, jogos, cinemas e outros","Proteção Social,Combate a desigualdade"
"Serviços ambientais","Meio ambiente"
"Por amparo legal","Educação,Educação superior"
"Extrativismo animal","Produção agropecuária,Agropecuária"
"Recuperação de recursos pesqueiros sobreexplotados","Biodiversidade,Meio ambiente"
"Mercado de capitais","Economia e Finanças"
"Praga de planta","Agropecuária"
"Cooperação acadêmica","Educação,Educação superior"
"Transporte ferroviário","Transportes,Transporte Ferroviário"
"Pesca extensiva","Agropecuária"
"Estatísticas em saúde","Saúde"
"Literatura","Cultura"
"Sanções administrativas","Meio ambiente"
"Petróleo","Energia,Combustíveis,Meio ambiente"
"Marinha mercante","Transportes,Transporte Hidroviário"
"Stricto sensu","Educação,Educação superior"
"Recifes de coral","Biodiversidade,Meio ambiente"
"Monitoramento e proteção das florestas","Meio ambiente"
"Saneamento","Saúde"
"Requerimento de publicidade ao ar livre","Urbanismo"
"Obra audiovisual publicitária","Cultura"
"Quarentena animal","Agropecuária"
"Relações diplomáticas","Relações Diplomáticas,Relações Internacionais"
"Trabalho do preso",""
"Revitalização de bacias hidrográficas","Meio ambiente,Água"
"Transporte internacional de cargas","Transportes"
"Sistema de mosaicos de áreas protegidas","Meio ambiente,Preservação e Conservação Ambiental"
"Compra de lixo","Meio ambiente,Preservação e Conservação Ambiental"
"Política econômica","Economia e Finanças"
"Ética política","Administração"
"Violência contra o idoso","Saúde"
"Seguros","Economia e Finanças"
"Infecção hospitalar","Saúde,Assistência Hospitalar e Ambulatorial"
"Participação e controle social em saúde","Saúde"
"Agências de viagens","Comércio e Serviços,Turismo"
"Racionalização do uso dos recursos e sua destinação","Meio ambiente"
"Métodos e meios de ensino e aprendizagem","Educação"
"Uruguai","Meio ambiente,Água"
"Combate ao desmatamento","Meio ambiente"
"Rodoviário","Serviços Urbanos,Urbanismo"
"Homeopatia","Saúde"
"Política nacional de justiça",""
"Audiências públicas","Meio ambiente"
"Qualidade de software","Pesquisa e Desenvolvimento"
"Polícia federal","Segurança e Ordem Pública"
"Folclore e cultura popular","Cultura"
"Valorização de resíduos florestais","Meio ambiente"
"Combate à desertificação","Meio ambiente"
"Indústria de celulose e papel","Propriedade Industrial,Indústria"
"Transgenia e sequenciamento","Agropecuária"
"Vacinas","Vigilância Sanitária,Saúde,Agropecuária"
"Seguro desemprego","Trabalho"
"Ambiente e saúde","Saúde"
"Passe escolar","Serviços Urbanos,Urbanismo"
"Suinocultura","Agropecuária"
"Ensino fundamental","Educação,Educação básica"
"Estocagem","Abastecimento,Agropecuária"
"Engenharia","Pesquisa e Desenvolvimento"
"Segurança alimentar","Biodiversidade,Abastecimento,Meio ambiente,Agropecuária"
"Banco de leite humano","Saúde"
"Demanda de emprego","Trabalho"
"Não nativas","Biodiversidade,Meio ambiente"
"Artes cênicas","Cultura"
"Salas verdes","Meio ambiente"
"Acompanhamento processual",""
"Serviços","Comércio e Serviços"
"Salário família","Previdência Social"
"Produtos e serviços gerados pelas florestas","Meio ambiente"
"Ciência espacial","Pesquisa e Desenvolvimento"
"Exploração espacial","Pesquisa e Desenvolvimento"
"Orçamento participativo","Fiscalização do Estado,Administração"
"Mercado de trabalho","Trabalho"
"Finanças públicas","Economia e Finanças"
"Ópera","Cultura"
"Amazônica","Meio ambiente,Água"
"Licitação","Administração,Compras governamentais"
"Construção","Urbanismo"
"Suprimento de alimento","Abastecimento,Agropecuária"
"Ecossistemas aquáticos degradados","Biodiversidade,Meio ambiente"
"Salas verdes x pontos de cultura","Meio ambiente"
"Estruturas educadoras integradas","Meio ambiente"
"Sustentabilidade dos recursos pesqueiros","Biodiversidade,Meio ambiente"
"Produção animal","Agropecuária"
"Transferências financeiras","Economia e Finanças"
"Gestão escolar","Educação"
"Internet","Pesquisa e Desenvolvimento"
"Agricultura orgânica","Agropecuária"
"Mudanças climáticas","Biodiversidade,Meio ambiente"
"Unidades de conservação","Biodiversidade,Meio ambiente"
"Consórcios públicos","Meio ambiente"
"Prevenção e combate à poluição","Meio ambiente"
"Qualidade de alimentos","Vigilância Sanitária,Saúde"
"Forragem","Agropecuária"
"Construção civil","Propriedade Industrial,Indústria"
"Emprego","Trabalho"
"Transporte ferroviário de cargas","Transportes,Transporte Ferroviário"
"Mecanização agrícola","Produção agropecuária,Agropecuária"
"Polícia ambiental","Meio ambiente"
"Polícia civil","Segurança e Ordem Pública"
"Eficiência energética","Meio ambiente"
"Nutrição animal","Agropecuária"
"Creche","Educação,Educação básica"
"Bioética","Saúde"
"Culturas étnicas","Cultura"
"Pesca amadora","Biodiversidade,Meio ambiente"
"Doenças de veiculação hídrica","Meio ambiente,Água"
"Fertilizantes e agrotóxicos","Agropecuária"
"Circo","Cultura"
"Tratamento de água","Saneamento Básico Urbano,Saneamento"
"Investimento","Economia e Finanças"
"Cobrança pelo uso da água","Meio ambiente,Água"
"Serviço móvel por satélite","Comunicações"
"Material didático","Educação"
"Gerenciamento costeiro e marinho","Meio ambiente"
"Procedimentos técnicos e administrativos","Meio ambiente"
"Ações e política de prevenção e repressão ao crime","Segurança e Ordem Pública"
"Coleta domiciliar (rotas, datas e horários)","Meio ambiente,Preservação e Conservação Ambiental"
"Bovinocultura","Agropecuária"
"Resíduos de serviços de saúde","Saúde"
"Biocomércio","Meio ambiente"
"Alimentação escolar","Educação"
"Projetos agroextrativistas de florestas públicas","Meio ambiente"
"Defesa civil","Segurança e Ordem Pública"
"Educação em reciclagem","Meio ambiente"
"Consolidação territorial","Meio ambiente,Preservação e Conservação Ambiental"
"Movimento transfronteiriços","Meio ambiente"
"Conselhos",""
"Amazônia","Biodiversidade,Meio ambiente"
"Classificação brasileira de ocupações","Trabalho"
"Gestão ambiental compartilhada","Meio ambiente"
"Peixe de água doce","Agropecuária"
"Aposentadoria por idade","Previdência Social"
"Avicultura","Agropecuária"
"Preço mínimo","Agropecuária"
"Autorização de saída",""
"Longa metragem","Cultura"
"Plantas medicinais","Biodiversidade,Meio ambiente"
"Látex","Produção agropecuária,Agropecuária"
"Parcelamento de solo","Urbanismo"
"Consulta protocolo","Serviços Urbanos,Urbanismo"
"Ação judiciária",""
"Violência de gênero","Saúde"
"Estudos hidrometeorológicos","Meio ambiente,Água"
"Fiscalização (audiovisual)","Cultura"
"Geotérmica","Meio ambiente"
"Campanhas de saúde","Saúde"
"Serviço da dívida externa","Economia e Finanças"
"Administração de concessões","Economia e Finanças"
"Resíduos tóxicos","Meio ambiente"
"Cooperação cientifica internacional","Educação,Educação superior"
"Melhoramento genético vegetal","Agropecuária"
"Comércio internacional e meio ambiente","Meio ambiente"
"Violência doméstica","Saúde"
"Piscicultura","Agropecuária"
"Manejo de florestas comunitárias","Meio ambiente"
"Cerrado","Biodiversidade,Meio ambiente"
"Autorização de cursos","Educação,Educação superior"
"Pronto socorro","Assistência Hospitalar e Ambulatorial,Saúde"
"Divida interna","Economia e Finanças"
"Proteção e conservação de água","Meio ambiente,Água"
"Entidades representativas do comércio e serviços","Comércio e Serviços"
"Utilização do patrimônio genético","Biodiversidade,Meio ambiente"
"Fiscalização animal","Agropecuária"
"Farmácia","Medicamentos e aparelhos,Saúde"
"Mortalidade infantil","Saúde"
"Ração","Agropecuária"
"Resíduos agropecuários","Meio ambiente"
"Graduação","Educação,Educação superior"
"Estatuto do idoso",""
"Comércio, Serviços e Turismo","Comércio e Serviços"
"Cultivo de patrimônio genético","Biodiversidade,Meio ambiente"
"Patrimônio espeleológico","Biodiversidade,Meio ambiente"
"Saúde dos portadores de deficiências","Saúde"
"Saúde da criança","Saúde"
"Alvará de funcionamento","Serviços Urbanos,Urbanismo"
"Educação do preso",""
"Ressocialização do egresso",""
"Mapas","Transportes"
"Ingresso no ensino superior","Educação,Educação superior"
"Educação continuada","Educação"
"Informação - Gestão, preservação e acesso","Comunicações"
"Conferência nacional de meio ambiente","Meio ambiente"
"Legislação (cultura)","Cultura"
"Magistério","Educação"
"Inovação tecnológica","Pesquisa e Desenvolvimento"
"Segurança química","Meio ambiente"
"Legislação internacional",""
"Pesquisa e coleta de material biológico","Biodiversidade,Meio ambiente"
"Relações internacionais","Relações Internacionais"
"Pecuária","Agropecuária"
"Regulamentação profissional","Trabalho"
"Robótica","Pesquisa e Desenvolvimento"
"Merenda escolar","Educação"
"Atividades científicas e de pesquisa de patrimônio genético","Biodiversidade,Meio ambiente"
"Avaliação ambiental integrada de bacia hidrográfica","Meio ambiente"
"Usos múltiplos de recursos hídricos","Meio ambiente,Água"
"Capina","Agropecuária"
"Cavernas","Biodiversidade,Meio ambiente"
"Turismo sustentável na amazônia legal","Biodiversidade,Meio ambiente"
"Pessoa",""
"Adoção",""
"Pós-graduação","Educação,Educação superior"
"Indústria","Indústria"
"Protocolo","Administração,Serviços Públicos"
"Ensino fundamental de 8 anos","Educação,Educação básica"
"Teleconferência","Comunicações"
"Rastreamento e certificação da produção agrícola","Biodiversidade,Meio ambiente"
"Indústria química e petroquímica","Propriedade Industrial,Indústria"
"Recuperação e restauração de ecossistemas","Meio ambiente"
"Aeroportos","Comércio e Serviços,Turismo"
"Aquicultura e pesca","Meio ambiente,Água"
